=== 四级 CET4 (600) ===
passage | 段落、通道
question | 问题
people | 人民、民族
well | 好、井、涌出
answer | 回答
make | 制作、使得
time | 时间
say | 说、说明
work | 工作
part | 部分
use | 使用
follow | 跟随
year | 年
write | 写
new | 新的
section | 部分、地段
word | 说话、单词
mark | 标记
take | 拿走、携带
read | 读
go | 去
hear | 听到
give | 给
base | 基础、基地
get | 得到
student | 学生
out | 出去、外面
child | 孩子
how | 如何
find | 发现
way | 方式
sheet | 被单、（一）张、纸
like | 喜欢、像
woman | 女人
school | 学校
think | 认为
world | 世界
choice | 选择
change | 改变
life | 生命、人生
long | 长
study | 学习
help | 帮助
job | 工作
learn | 学习、了解
high | 高的、高
good | 好的、货物
minute | 分钟、微小的
live | 住、生活
know | 知道
line | 排队、线
become | 成为、适宜
author | 作者
come | 来
mean | 意思是、意味着
letter | 信件
see | 看
end | 结束
once | 曾经、一次
company | 公司、陪伴
problem | 问题
university | 大学
human | 人
state | 陈述、状态
want | 想要
food | 食物
country | 国家
choose | 选择
day | 日子
accord | 协议、符合
show | 展示、展现
great | 巨大的
thing | 事情
look | 看
business | 商业
research | 研究
number | 数字
single | 单一的
own | 拥有
feel | 感觉
family | 家庭
old | 老的
parent | 父母
increase | 增加
paragraph | 段落
provide | 提供
home | 家
last | 最后的、持续
point | 点、指
text | 文本
correspond | 相符合、相当
place | 放置、地点
pay | 支付
language | 语言、风格
keep | 保持
book | 预定、书籍
college | 大学
listen | 听
why | 为什么
system | 系统
put | 放
blank | 空白的、失色的
result | 结果
try | 尝试
money | 钱
ask | 问
seem | 似乎
speak | 说
news | 新闻
example | 例子
same | 同样的
important | 重要的
right | 正确的、权利
report | 报告
believe | 相信
public | 公众的
health | 健康
far | 远的
young | 年轻的
call | 打电话
large | 大的
city | 城市
develop | 发展
start | 开始
idea | 想法
allow | 允许
science | 科学
age | 年龄
every | 每个
leave | 离开
talk | 说
require | 需要、要求
car | 车
society | 社会
short | 短
cause | 造成
technology | 技术、工艺
grow | 成长、增长
sentence | 句子、判决
hour | 小时
big | 大
begin | 开始
lead | 带领
build | 建造
early | 早期的
spend | 花
bank | 银行
hard | 困难的
class | 班级
cost | 花费
group | 小组
price | 价格
effect | 效果
today | 在今天、现今
tell | 告诉
set | 设定
play | 玩、扮演、戏剧
course | 课程
buy | 购买
understand | 理解
offer | 提供
small | 小的
product | 产品
experience | 经历
suggest | 建议
decide | 决定
test | 测试
bring | 带来
person | 人
future | 未来
reason | 理由
view | 景观
water | 水
improve | 改进、提高
care | 关心、在意
benefit | 益处、好处
low | 低的
program | 项目
market | 市场
teach | 教
support | 支持
kind | 仁慈的、种类
friend | 朋友
skill | 技术
form | 形式、形成
include | 包括
move | 移动
create | 创造
century | 世纪
bad | 坏的
eat | 吃
face | 面对
plan | 计划
consider | 考虑
industry | 工业、行业
process | 过程、进程
rate | 比率
fact | 事实
house | 房子
culture | 文化
power | 力、功率
share | 分享
area | 地区、范围
lot | 很、许多
sense | 感觉
lose | 失去、失败
rise | 上升
energy | 精力
control | 控制
space | 空间
case | 情况
hold | 握着、坚持
possible | 可能的
animal | 动物
enough | 足够
value | 价值
role | 角色
week | 周末
individual | 个人的、独特的
hand | 手
open | 打开
term | 条款、期限
away | 离开
happen | 发生
fall | 下降、掉落
art | 艺术
self | 自我、自己
drive | 驾驶、驱使
interest | 兴趣
issue | 问题、期刊、发布
